KEYWORD,MSV FEB 2020,MSV MAR 2020,MSV April 2020,MONTH TO MONTH TREND,CATEGORY,CONSUMER IMPACT
free relaxation apps,720,1000,1600,60%,Technology - Apps - Mental Health,Health & Safety
how do i cancel an app subscription,1000,1000,1600,60%,Technology - Subscriptions - Cancel - Question,Financial Hardship
mens home office,720,1000,1600,60%,Technology - Remote Work - Office,Health & Safety
best free reverse phone lookup app,40,70,110,57%,Technology - Apps - Free,Health & Safety
cancel music subscription,70,70,110,57%,Technology - Subscriptions - Cancel,Financial Hardship
facetime video calling android,10,70,110,57%,Technology - Apps - Chat - Video,Health & Safety
how to cancel my account,70,70,110,57%,Technology - Subscriptions - Cancel - Question,Financial Hardship
i want to cancel my subscription,70,70,110,57%,Technology - Subscriptions - Cancel,Financial Hardship
just talk app review,30,70,110,57%,Technology - Apps - Chat - Video,Health & Safety
3 way video call facebook messenger,30,110,170,55%,Technology - Apps - Chat - Video,Health & Safety
android recipe app,110,110,170,55%,Technology - Apps - Cooking - Recipe,Health & Safety
facetime on,50,110,170,55%,Technology - Apps - Chat - Video,Health & Safety
app that shops for you,110,170,260,53%,Technology - Apps - Grocery,Health & Safety
best food recipe apps,140,170,260,53%,Technology - Apps - Cooking - Recipe - Food,Health & Safety
best home office lighting for computer work,140,170,260,53%,Technology - Remote Work - Office,Health & Safety
free movie app on roku,170,170,260,53%,Technology - Apps - Movies - Free,Entertainment
house party facetime app,70,170,260,53%,Technology - Apps - Chat - Video,Entertainment
which app delivers alcohol,50,170,260,53%,Technology - Apps - Alcohol - Delivery,Health & Safety
best desk setup,1300,1900,2900,53%,Technology - Remote Work - Office,Health & Safety
best free sleep apps,1900,1900,2900,53%,Technology - Apps - Free,Health & Safety
desk setup ideas,1300,1900,2900,53%,Technology - Remote Work - Office,Health & Safety
free home workout apps,260,1900,2900,53%,Technology - Apps - Free - Workout,Health & Safety
free poker apps,1300,1900,2900,53%,Technology - Apps - Poker,Entertainment
home office ideas for her,1000,1900,2900,53%,Technology - Remote Work - Office,Health & Safety
home office set,1300,1900,2900,53%,Technology - Remote Work - Office,Health & Safety
cocktail recipe app,110,210,320,52%,Technology - Apps - Recipe - Bartending,Health & Safety
free face chat,110,210,320,52%,Technology - Apps - Chat - Video,Health & Safety
free stress relief apps,140,210,320,52%,Technology - Apps - Mental Health,Health & Safety
fresh direct free delivery,70,210,320,52%,Technology - Apps - Grocery - Delivery,Health & Safety
beer delivery app,1300,2900,4400,52%,Technology - Apps - Delivery,Health & Safety
best online poker,1300,2900,4400,52%,Technology - Apps - Poker,Entertainment
best poker app,1600,2900,4400,52%,Technology - Apps - Poker,Entertainment
house party app for android,30,2900,4400,52%,Technology - Apps - Chat - Video,Entertainment
video chat background,70,2900,4400,52%,Technology - Apps - Chat - Video,Health & Safety
best at home office chair,30,390,590,51%,Technology - Remote Work - Office,Health & Safety
booze delivery app,170,390,590,51%,Technology - Apps - Delivery,Health & Safety
cool home office desks,170,390,590,51%,Technology - Remote Work - Office,Health & Safety
free recipe apps,590,390,590,51%,Technology - Apps - Cooking - Recipe,Health & Safety
free workout apps for iphone,210,390,590,51%,Technology - Apps - Free - Workout,Health & Safety
how do i cancel my subscription,390,390,590,51%,Technology - Subscriptions - Cancel - Question,Financial Hardship
how to cancel espn subscription,720,390,590,51%,Technology - Subscriptions - Cancel - Question,Financial Hardship
2 player drinking games app,260,480,720,50%,Technology - Apps - Alcohol - Bartending,Entertainment
android recipe,30,20,30,50%,Technology - Apps - Cooking - Recipe,Health & Safety
apps that deliver food in my area,10,20,30,50%,Technology - Apps - Delivery - Food,Health & Safety
bartender drink app,40,20,30,50%,Technology - Apps - Alcohol - Bartending,Entertainment
best cookbook app,90,140,210,50%,Technology - Apps - Cooking - Books,Health & Safety
best drinking apps,140,260,390,50%,Technology - App - Grocery - Bartending,Health & Safety
best free weight loss apps,5400,4400,6600,50%,Technology - Apps - Free,Health & Safety
best headset for remote workers,10,20,30,50%,Technology - Remote Work - Headset,Communication
best home office chair,2400,14800,22200,50%,Technology - Remote Work - Office,Health & Safety
best home office desk chair,320,1600,2400,50%,Technology - Remote Work - Office,Health & Safety
best laptop for home use,2900,3600,5400,50%,Technology - Remote Work - Laptop,Health & Safety
best recipe app,3600,3600,5400,50%,Technology - Apps - Cooking - Recipe,Entertainment
cancel cbs all access,18100,14800,22200,50%,Technology - Subscriptions - Cancel,Financial Hardship
cancel gamestop order,720,4400,6600,50%,0,0
cancel offer ebay,5400,5400,8100,50%,Technology - Subscriptions - Cancel,Financial Hardship
completely free workout apps,320,480,720,50%,Technology - Apps - Free - Workout,Health & Safety
drizly retailer app,260,480,720,50%,Technology - Apps,Health & Safety
facetalk,90,260,390,50%,Technology - Apps - Chat - Video,Health & Safety
facetime on lg,10,20,30,50%,Technology - Apps - Chat - Video,Health & Safety
facetime on lg phone,40,140,210,50%,Technology - Apps - Chat - Video,Health & Safety
free amazon prime account,1000,1600,2400,50%,Technology - Apps - Free - Amazon,Entertainment
free diet apps,1900,1600,2400,50%,Technology - Apps - Free,Health & Safety
free movie apps for iphone,5400,5400,8100,50%,Technology - Apps - Movies - Free,Entertainment
free online poker no download,1600,2400,3600,50%,Technology - Apps - Poker,Entertainment
free sleep apps,4400,4400,6600,50%,Technology - Apps - Free,Entertainment
fun apps to play with friends,590,2400,3600,50%,Technology - Apps - Multiplayer Games,Entertainment
games with friends app,480,3600,5400,50%,Technology - Apps - Multiplayer Games,Entertainment
good laptop for home use,170,260,390,50%,Technology - Remote Work - Laptop,Health & Safety
hd video call app,20,20,30,50%,Technology - Apps - Chat - Video,Health & Safety
home file storage,170,140,210,50%,Technology - Remote Work,Entertainment
home office,33100,110000,165000,50%,Technology - Remote Work - Office,Health & Safety
home office equipment essentials,10,20,30,50%,Technology - Remote Work - Office,Health & Safety
home study ideas,320,320,480,50%,Technology - Remote Work,Health & Safety
houseparty app data usage,10,20,30,50%,Technology - Apps - Chat - Video,Entertainment
houseparty app users,10,20,30,50%,Technology - Apps - Chat - Video,Entertainment
how does the stop and shop app work,10,20,30,50%,Technology - Apps - Question,Health & Safety
i want to facetime,70,140,210,50%,Technology - Apps - Chat - Video,Health & Safety
instacart shopping app,90,320,480,50%,Technology - Apps,Health & Safety
ipad cooking app,30,20,30,50%,Technology - Apps - Cooking,Health & Safety
long home office desk,170,260,390,50%,Technology - Remote Work - Office,Health & Safety
make a facetime call,90,480,720,50%,Technology - Apps - Chat - Video,Health & Safety
recipe app,4400,4400,6600,50%,Technology - Apps - Cooking - Recipe,Entertainment
recipe sharing app,110,260,390,50%,Technology - Apps - Cooking - Recipe,Health & Safety
s6 video call,10,20,30,50%,Technology - Apps - Chat - Video,Health & Safety
small home office ideas,3600,5400,8100,50%,Technology - Remote Work - Office,Health & Safety
store pickup app,10,20,30,50%,Technology - Apps,Health & Safety
things to make at home,1000,4400,6600,50%,Technology - Remote Work - Office,Health & Safety
video chat etiquette,10,260,390,50%,Technology - Apps - Chat - Video,Health & Safety
what is the best delivery app,170,260,390,50%,Technology - Apps - Delivery - Question,Health & Safety
which is best food delivery app,10,20,30,50%,Technology - Apps - Delivery - Food,Health & Safety
how to cancel subscriptions,14800,18100,27100,50%,Technology - Subscriptions - Cancel - Question,Financial Hardship
facetime call,3600,9900,14800,49%,Technology - Apps - Chat - Video,Health & Safety
free weight loss apps,9900,9900,14800,49%,Technology - Apps - Free,Health & Safety
how to cancel app subscription,9900,9900,14800,49%,Technology - Subscriptions - Cancel - Question,Financial Hardship
home office organization,9900,8100,12100,49%,Technology - Remote Work - Office,Health & Safety
how to cancel cbs all access,9900,8100,12100,49%,Technology - Subscriptions - Cancel - Question,Financial Hardship
video chat games,140,8100,12100,49%,Technology - Apps - Chat - Video,Health & Safety
instacart,823000,6120000,9140000,49%,Technology - Apps - Grocery,Health & Safety
alcohol app,480,590,880,49%,Technology - Apps - Alcohol,Health & Safety
best free workout apps for weight loss,590,590,880,49%,Technology - Apps - Free - Workout,Health & Safety
games like house party,480,590,880,49%,Technology - Apps - Chat - Video,Entertainment
home office ideas,74000,165000,246000,49%,Technology - Remote Work - Office,Health & Safety
home office desk,60500,135000,201000,49%,Technology - Remote Work - Office,Health & Safety
cool home office ideas,590,880,1300,48%,Technology - Remote Work - Office,Health & Safety
how do i cancel a subscription,1000,880,1300,48%,Technology - Subscriptions - Cancel - Question,Financial Hardship
how do you cancel a subscription,720,880,1300,48%,Technology - Subscriptions - Cancel - Question,Financial Hardship
standing desk with storage,720,880,1300,48%,Technology - Remote Work - Office,Health & Safety
best cooking apps,880,1300,1900,46%,Technology - Apps - Cooking,Health & Safety
drinking apps,880,1300,1900,46%,Technology - Apps - Alcohol - Bartending,Entertainment
online cookbook,880,1300,1900,46%,Technology - Apps - Cooking - Books,Health & Safety
decorating your home office,10,50,70,40%,Technology - Remote Work - Office,Health & Safety
facetime software,20,50,70,40%,Technology - Apps - Chat - Video,Health & Safety
free video call app download,20,50,70,40%,Technology - Apps - Chat - Video,Health & Safety
justalk app review,20,50,70,40%,Technology - Apps - Chat - Video,Health & Safety
things every home office should have,30,50,70,40%,Technology - Remote Work - Office,Health & Safety
what food delivery app is the best,90,50,70,40%,Technology - Apps - Delivery - Food - Question,Health & Safety
what is the best headset for working from home,10,50,70,40%,Technology - Remote Work - Headset - Question,Communication
shopping delivery app,320,720,1000,39%,Technology - Apps - Grocery - Delivery,Health & Safety
app that brings groceries to you,40,30,40,33%,Technology - Apps - Grocery,Health & Safety
cancel box account,20,30,40,33%,Technology - Subscriptions - Cancel,Financial Hardship
i would like to cancel my subscription,20,30,40,33%,Technology - Subscriptions - Cancel,Financial Hardship
video calling appa,10,30,40,33%,Technology - Apps - Chat - Video,Health & Safety
best free diet app,1300,1000,1300,30%,Technology - Apps - Free,Health & Safety
best poker app real money,590,1000,1300,30%,Technology - Apps - Poker,Entertainment
cancel subscription app store,880,1000,1300,30%,Technology - Subscriptions - Cancel,Financial Hardship
facetime phone,320,1000,1300,30%,Technology - Apps - Chat - Video,Health & Safety
free guided meditation for sleep,1000,1000,1300,30%,Technology - Apps - Mental Health,Health & Safety
free workout plan app,1000,1000,1300,30%,Technology - Apps - Free - Workout,Health & Safety
free workout plans app,1000,1000,1300,30%,Technology - Apps - Free - Workout,Health & Safety
home office for two,590,1000,1300,30%,Technology - Remote Work - Office,Health & Safety
home office ideas for small spaces,480,1000,1300,30%,Technology - Remote Work - Office,Health & Safety
home office space,390,1000,1300,30%,Technology - Remote Work - Office,Health & Safety
online cash poker,720,1000,1300,30%,Technology - Apps - Poker,Entertainment
online game app,390,1000,1300,30%,Technology - Apps - Multiplayer Games,Entertainment
viber video call,170,1000,1300,30%,Technology - Apps - Chat - Video,Health & Safety
apps that deliver alcohol near me,20,70,90,29%,Technology - Apps - Alcohol - Delivery,Health & Safety
at home office decor,40,70,90,29%,Technology - Remote Work - Office,Health & Safety
cooking learning app,30,70,90,29%,Technology - Apps - Cooking,Health & Safety
delivery apps in my area,50,70,90,29%,Technology - Apps - Delivery,Health & Safety
facetime version,10,70,90,29%,Technology - Apps - Chat - Video,Health & Safety
justalk reviews,10,70,90,29%,Technology - Apps - Chat - Video,Health & Safety
local food delivery app,40,70,90,29%,Technology - Apps - Delivery - Food,Health & Safety
local food delivery apps,40,70,90,29%,Technology - Apps - Delivery - Food,Health & Safety
video calling video,20,70,90,29%,Technology - Apps - Chat - Video,Health & Safety
what to make for dinner app,40,70,90,29%,Technology - Apps - Cooking - Question,Health & Safety
best home technology,90,110,140,27%,Technology - Remote Work - Office,Health & Safety
food service app,140,110,140,27%,Technology - Apps - Food,Health & Safety
food service apps,140,110,140,27%,Technology - Apps - Food,Health & Safety
free roku remote app,90,110,140,27%,Technology - Apps - Free,Entertainment
group party app,10,110,140,27%,Technology - Apps - Chat - Video,Entertainment
how do i cancel my account,90,110,140,27%,Technology - Subscriptions - Cancel - Question,Financial Hardship
please cancel my subscription,50,110,140,27%,Technology - Subscriptions - Cancel,Financial Hardship
recipe app for iphone,110,110,140,27%,Technology - Apps - Cooking - Recipe,Health & Safety
video call application,40,110,140,27%,Technology - Apps - Chat - Video,Health & Safety
video chat movie app,10,110,140,27%,Technology - Apps - Chat - Video,Health & Safety
amazon prime free ebooks,1000,1900,2400,26%,Technology - Apps - Free - Amazon - Books,Entertainment
best free exercise apps,1000,1900,2400,26%,Technology - Apps - Free,Health & Safety
cool home office,720,1900,2400,26%,Technology - Remote Work - Office,Health & Safety
home office ideas for him,1000,1900,2400,26%,Technology - Remote Work - Office,Health & Safety
home office organization ideas,1300,1900,2400,26%,Technology - Remote Work - Office,Health & Safety
home office table,590,1900,2400,26%,Technology - Remote Work - Office,Health & Safety
laptop desk setup,1600,1900,2400,26%,Technology - Remote Work - Office,Health & Safety
party game apps,880,1900,2400,26%,Technology - Apps - Multiplayer Games,Entertainment
real poker online,1300,1900,2400,26%,Technology - Apps - Poker,Entertainment
chat and video call app,20,40,50,25%,Technology - Apps - Chat - Video,Health & Safety
cookbook recipes app,40,40,50,25%,Technology - Apps - Cooking - Books - Recipe,Health & Safety
facetime android to ipad,10,40,50,25%,Technology - Apps - Chat - Video,Health & Safety
facetime play store,20,40,50,25%,Technology - Apps - Chat - Video,Health & Safety
high quality desks for home office,20,40,50,25%,Technology - Remote Work - Office,Health & Safety
