KEYWORD,MSV FEB 2020,MSV MAR 2020,MSV April 2020,MONTH TO MONTH TREND,CATEGORY,CONSUMER IMPACT
remote sharing tools,10,10,10,0%,Technology - Remote Work - Tools,Health & Safety
remote work trends,210,320,320,0%,Technology - Remote Work,Communication
roku apps free,2400,2900,2900,0%,Technology - Apps - Free,Entertainment
roku tv apps free,1300,1300,1300,0%,Technology - Apps - Free - TV,Entertainment
simple video call,10,50,50,0%,Technology - Apps - Chat - Video,Health & Safety
skype video call app,90,320,320,0%,Technology - Apps - Chat - Video,Health & Safety
smart home office designs,10,10,10,0%,Technology - Remote Work - Office,Health & Safety
stand up desks for home office,210,880,880,0%,Technology - Remote Work - Office,Health & Safety
takeout app,260,720,720,0%,Technology - Apps,Health & Safety
talk video call,30,30,30,0%,Technology - Apps - Chat - Video,Health & Safety
the best food delivery app,260,320,320,0%,Technology - Apps - Delivery - Food,Health & Safety
three card poker online free,320,210,210,0%,Technology - Apps - Poker,Entertainment
top drinking game apps,10,20,20,0%,Technology - Apps - Alcohol - Bartending,Entertainment
top food recipe apps,10,10,10,0%,Technology - Apps - Cooking - Recipe - Food,Health & Safety
top free workout apps,320,480,480,0%,Technology - Apps - Free - Workout,Health & Safety
top rated recipe apps,10,10,10,0%,Technology - Apps - Cooking - Recipe,Health & Safety
traditional home office decorating ideas,10,20,20,0%,Technology - Remote Work - Office,Health & Safety
two player app games,590,1900,1900,0%,Technology - Apps - Multiplayer Games,Entertainment
two player apps,210,590,590,0%,Technology - Apps - Multiplayer Games,Entertainment
vegetarian recipe app android,10,10,10,0%,Technology - Apps - Cooking - Recipe,Health & Safety
video call apk,20,20,20,0%,Technology - Apps - Chat - Video,Health & Safety
video call app download,110,210,210,0%,Technology - Apps - Chat - Video,Health & Safety
video call chat,480,720,720,0%,Technology - Apps - Chat - Video,Health & Safety
video call website,390,880,880,0%,Technology - Apps - Chat - Video,Health & Safety
video chat,74000,110000,110000,0%,Technology - Video - Chat,Entertainment
video chat app,18100,74000,74000,0%,Technology - Apps - Video - Chat,Entertainment
video chat facebook messenger,390,4400,4400,0%,Technology - Apps - Chat - Video,Health & Safety
video chat karaoke,10,260,260,0%,Technology - Apps - Chat - Video,Health & Safety
video poker online,1600,2900,2900,0%,Technology - Apps - Poker - Video,Entertainment
virtual coffee date,30,590,590,0%,Technology - Dating,Health & Safety
virtual drinking app,10,70,70,0%,Technology - Apps - Alcohol - Bartending,Entertainment
what is the android equivalent of facetime,30,210,210,0%,Technology - Apps - Chat - Video,Health & Safety
what to put on your desk at home,10,10,10,0%,Technology - Remote Work - Office - Question,Health & Safety
which is the fastest delivery app,10,10,10,0%,Technology - Apps - Delivery,Health & Safety
work from home accessories,70,2400,2400,0%,Technology - Remote Work,Communication
work from home decor,10,140,140,0%,Technology - Remote Work,Communication
work from home office ideas,140,590,590,0%,Technology - Remote Work - Office,Health & Safety
work from home phone and headset,20,110,110,0%,Technology - Mobile Devices - Phone - Headset,Communication
work from home qualifications,10,10,10,0%,Technology - Remote Work,Communication
work office home office,10,10,10,0%,Technology - Remote Work - Office,Communication
workout tracker app free,320,260,260,0%,Technology - Apps - Free - Workout,Health & Safety
food service delivery apps,590,1000,880,-12%,Technology - Apps - Delivery - Food,Health & Safety
home office computer,390,1000,880,-12%,Technology - Remote Work - Office,Health & Safety
house party facetime,110,1000,880,-12%,Technology - Apps - Chat - Video,Entertainment
houseparty facetime,110,1000,880,-12%,Technology - Apps - Chat - Video,Entertainment
iphone video chat,390,1000,880,-12%,Technology - Apps - Chat - Video,Health & Safety
samsung video chat,260,1000,880,-12%,Technology - Apps - Chat - Video,Health & Safety
video chat options,50,1000,880,-12%,Technology - Apps - Chat - Video,Health & Safety
best board game apps,720,1900,1600,-16%,Technology - Apps - Multiplayer Games,Entertainment
video calling software,880,1900,1600,-16%,Technology - Apps - Chat - Video,Health & Safety
best computer for working from home,590,2900,2400,-17%,Technology - Remote Work,Communication
3 way video chat facebook messenger,30,170,140,-18%,Technology - Apps - Chat - Video,Health & Safety
best office desk accessories,210,170,140,-18%,Technology - Remote Work - Office,Health & Safety
food delivery app free delivery,40,170,140,-18%,Technology - Apps - Delivery - Food,Health & Safety
free apple apps today,110,170,140,-18%,Technology - Apps - Free,Health & Safety
online food delivery apps,90,170,140,-18%,Technology - Apps - Delivery - Food,Health & Safety
cancel and manage subscription,70,390,320,-18%,Technology - Subscriptions - Cancel,Financial Hardship
online multiplayer apps,110,390,320,-18%,Technology - Apps - Multiplayer Games,Entertainment
best home office furniture,260,720,590,-18%,Technology - Remote Work - Office,Health & Safety
cancel espn plus subscription,480,720,590,-18%,Technology - Subscriptions - Cancel,Financial Hardship
grocery delivery service app,210,720,590,-18%,Technology - Apps - Grocery - Delivery,Health & Safety
home office desk and chair,110,720,590,-18%,Technology - Remote Work - Office,Health & Safety
video chat in discord,30,720,590,-18%,Technology - Apps - Chat - Video,Health & Safety
free meditation apps,14800,27100,22200,-18%,Technology - Apps - Mental Health,Health & Safety
free video chat,22200,27100,22200,-18%,Technology - Apps - Video - Chat - Free,Entertainment
app that goes to the store for you,70,110,90,-18%,Technology - Apps,Health & Safety
best laptop for working from home,1600,9900,8100,-18%,Technology - Remote Work - Laptop,Communication
best monitor for home office,720,6600,5400,-18%,Technology - Remote Work - Monitors - Office,Health & Safety
cancel sirius,2900,4400,3600,-18%,0,0
decorate my home office,30,110,90,-18%,Technology - Remote Work - Office,Health & Safety
facetime for android,27100,165000,135000,-18%,Technology - Apps - Chat - Video,Health & Safety
food app nyc,170,110,90,-18%,Technology - Apps - Food,Health & Safety
free streaming apps,4400,6600,5400,-18%,Technology - Apps - Free,Entertainment
home office essentials,590,4400,3600,-18%,Technology - Remote Work - Office,Health & Safety
item delivery app,110,110,90,-18%,Technology - Apps - Delivery,Health & Safety
multiplayer app games,590,4400,3600,-18%,Technology - Apps - Multiplayer Games,Entertainment
phone soap spray,20,110,90,-18%,Technology - Mobile Devices,Health & Safety
skype video call download,40,110,90,-18%,Technology - Apps - Chat - Video,Health & Safety
the best free meditation apps,70,110,90,-18%,Technology - Apps - Mental Health,Health & Safety
video call android to iphone,1300,4400,3600,-18%,Technology - Apps - Chat - Video,Health & Safety
apps to play with friends,1900,14800,12100,-18%,Technology - Apps - Multiplayer Games,Entertainment
fresh direct,110000,673000,550000,-18%,Technology - Apps - Grocery,Health & Safety
app games to play with friends,2900,22200,18100,-18%,Technology - Apps - Multiplayer Games,Entertainment
best app games to play with friends,480,5400,4400,-19%,Technology - Apps - Multiplayer Games,Entertainment
facetime for android to iphone,1900,8100,6600,-19%,Technology - Apps - Chat - Video,Health & Safety
free reading apps,2900,8100,6600,-19%,Technology - Apps - Free,Entertainment
google video call,1900,8100,6600,-19%,Technology - Apps - Chat - Video,Health & Safety
work from home essentials,170,8100,6600,-19%,Technology - Remote Work,Communication
apps like facetime for android,110,590,480,-19%,Technology - Apps - Chat - Video,Health & Safety
grocery shopping delivery app,140,590,480,-19%,Technology - Apps - Delivery - Grocery,Health & Safety
home office necessities,110,590,480,-19%,Technology - Remote Work - Office,Health & Safety
android version of facetime,260,1600,1300,-19%,Technology - Apps - Chat - Video,Health & Safety
best computer monitor for home office,170,1600,1300,-19%,Technology - Remote Work - Office,Health & Safety
best computer monitors for home office,170,1600,1300,-19%,Technology - Remote Work - Monitors - Office,Health & Safety
best free mindfulness apps,390,480,390,-19%,Technology - Apps - Mental Health,Health & Safety
best free movie apps for roku,260,320,260,-19%,Technology - Apps - Movies - Free,Entertainment
best multiplayer apps,390,1600,1300,-19%,Technology - Apps - Multiplayer Games,Entertainment
best office headset,720,1600,1300,-19%,Technology - Remote Work - Headset,Communication
best technology for working remotely,30,480,390,-19%,Technology - Remote Work,Communication
cancel espn subscription,1600,1600,1300,-19%,Technology - Subscriptions - Cancel,Financial Hardship
cancel espn+ subscription,1600,1600,1300,-19%,Technology - Subscriptions - Cancel,Financial Hardship
free facetime app for android,40,320,260,-19%,Technology - Apps - Chat - Video,Health & Safety
grocery store delivery app,480,1600,1300,-19%,Technology - Apps - Grocery - Delivery,Health & Safety
headspace app free,320,1600,1300,-19%,Technology - Apps - Mental Health,Health & Safety
how do i facetime on my android,20,320,260,-19%,Technology - Apps - Chat - Video,Health & Safety
video chat microsoft teams,10,480,390,-19%,Technology - Apps - Chat - Video,Health & Safety
where does freshdirect deliver,90,1600,1300,-19%,Technology - Apps - Grocery - Delivery,Health & Safety
wireless headset for home phone,110,320,260,-19%,Technology - Remote Work,Communication
food delivery app new york,170,210,170,-19%,Technology - Apps - Delivery - Food,Health & Safety
online video calling app,90,210,170,-19%,Technology - Apps - Chat - Video,Health & Safety
video chat app download,90,210,170,-19%,Technology - Apps - Chat - Video,Communication
wifi video calling,70,210,170,-19%,Technology - Apps - Chat - Video,Health & Safety
best free apps for anxiety,210,260,210,-19%,Technology - Apps - Mental Health,Health & Safety
good facetime apps,70,260,210,-19%,Technology - Apps - Chat - Video,Health & Safety
home office multiple monitors,90,260,210,-19%,Technology - Remote Work - Monitors - Office,Health & Safety
how to cancel espn+ subscription,320,260,210,-19%,Technology - Subscriptions - Cancel - Question,Financial Hardship
video chat in microsoft teams,10,260,210,-19%,Technology - Apps - Chat - Video,Health & Safety
video chat with discord,10,260,210,-19%,Technology - Apps - Chat - Video,Health & Safety
best apps to play with friends,480,3600,2900,-19%,Technology - Apps - Multiplayer Games,Entertainment
free video call app,880,3600,2900,-19%,Technology - Apps - Chat - Video,Health & Safety
is skype video call free,480,3600,2900,-19%,Technology - Apps - Chat - Video,Health & Safety
video chat discord,210,3600,2900,-19%,Technology - Apps - Chat - Video,Health & Safety
app that will deliver anything,40,50,40,-20%,Technology - Apps - Delivery,Health & Safety
creative home workspaces,10,50,40,-20%,Technology - Remote Work,Communication
dual monitor setup home office,10,50,40,-20%,Technology - Remote Work - Monitors - Office,Health & Safety
home office two monitors,20,50,40,-20%,Technology - Remote Work - Headset - Office,Health & Safety
cancel xm radio,1900,2400,1900,-21%,0,0
free ios apps,1900,2400,1900,-21%,Technology - Apps - Free,Entertainment
fresh direct coupon code,260,2400,1900,-21%,Technology - Apps - Grocery,Health & Safety
video chat on tv,320,2400,1900,-21%,Technology - Apps - Chat - Video,Health & Safety
work from home office setup,320,2400,1900,-21%,Technology - Remote Work - Office,Communication
eating delivery apps,70,140,110,-21%,Technology - Apps - Delivery,Health & Safety
home office arrangement,70,140,110,-21%,Technology - Remote Work - Office,Health & Safety
video chat tools,20,140,110,-21%,Technology - Apps - Chat - Video,Health & Safety
best food delivery app near me,70,90,70,-22%,Technology - Apps - Delivery - Food,Health & Safety
facetime android free download,20,90,70,-22%,Technology - Apps - Chat - Video,Health & Safety
best home office computer,720,1300,1000,-23%,Technology - Remote Work - Office,Health & Safety
grocery ordering app,390,1300,1000,-23%,Technology - Apps - Grocery - Ordering,Health & Safety
how to set up a home office,320,1300,1000,-23%,Technology - Remote Work - Office - Question,Health & Safety
best food delivery app for my area,20,40,30,-25%,Technology - Apps - Delivery - Food,Health & Safety
games over snapchat,20,40,30,-25%,Technology - Apps - Chat,Communication
is there an android app compatible with facetime,10,40,30,-25%,Technology - Apps - Chat - Video,Health & Safety
just talk download,20,40,30,-25%,Technology - Apps - Chat - Video,Health & Safety
store delivery app,590,1000,720,-28%,Technology - Apps - Grocery - Delivery,Health & Safety
cancel and manage subscriptions,20,70,50,-29%,Technology - Subscriptions - Cancel,Financial Hardship
home office monitor,260,1900,1300,-32%,Technology - Remote Work - Monitors - Office,Health & Safety
best video call,170,1300,880,-32%,Technology - Apps - Chat - Video,Health & Safety
video chat zoom,2400,33100,22200,-33%,Technology - Apps - Chat - Video,Health & Safety
best home monitor,140,880,590,-33%,Technology - Remote Work - Monitors,Health & Safety
oovoo video call,210,880,590,-33%,Technology - Apps - Chat - Video,Health & Safety
work from home setup,320,12100,8100,-33%,Technology - Remote Work,Communication
facetime video call,2400,18100,12100,-33%,Technology - Apps - Chat - Video,Health & Safety
app that will bring you anything,20,30,20,-33%,Technology - Apps,Health & Safety
bartender apps for iphone,20,30,20,-33%,Technology - Apps - Bartending,Health & Safety
best headset for work from home,210,5400,3600,-33%,Technology - Remote Work,Communication
best headset for working from home,210,5400,3600,-33%,Technology - Remote Work,Communication
drizly alcohol app,10,30,20,-33%,Technology - Apps - Alcohol,Health & Safety
dual monitors at home,10,30,20,-33%,Technology - Remote Work - Monitors,Health & Safety
facetime for tablet free download,10,30,20,-33%,Technology - Apps - Chat - Video,Health & Safety
free news apps,1900,3600,2400,-33%,Technology - Apps - Free,Entertainment
fresh direct delivery,1300,8100,5400,-33%,Technology - Apps - Grocery - Delivery,Health & Safety
freshdirect nyc,320,2400,1600,-33%,Technology - Apps - Grocery,Health & Safety
home office desk for dual monitors,90,480,320,-33%,Technology - Remote Work - Office,Health & Safety
home office his and hers,10,30,20,-33%,Technology - Remote Work - Office,Health & Safety
home office monitor setup,110,480,320,-33%,Technology - Remote Work - Monitors - Office,Health & Safety
how to cancel an espn plus subscription,30,30,20,-33%,Technology - Subscriptions - Cancel - Question,Financial Hardship
how to get remote wifi,10,30,20,-33%,Technology - Mobile Devices - Question,Health & Safety
list of delivery apps,20,30,20,-33%,Technology - Apps - Delivery,Health & Safety
skype free video call app download,10,30,20,-33%,Technology - Apps - Chat - Video,Health & Safety
work at home companies that provide equipment,30,30,20,-33%,Technology - Remote Work,Communication
house party snapchat,390,590,390,-34%,Technology - Apps - Chat,Communication
how to cancel espn plus subscription,320,590,390,-34%,Technology - Subscriptions - Cancel - Question,Financial Hardship
video chat android to apple,90,590,390,-34%,Technology - Apps - Chat - Video,Health & Safety
best free ringtone app for android,260,320,210,-34%,Technology - Apps - Free,Health & Safety
work from home productivity tools,20,320,210,-34%,Technology - Remote Work,Communication
espn plus subscription cancel,210,260,170,-35%,Technology - Subscriptions - Cancel,Financial Hardship
free facetime app for android phone,10,170,110,-35%,Technology - Apps - Chat - Video,Health & Safety
free workout routine app,210,170,110,-35%,Technology - Apps - Free - Workout,Health & Safety
games to play in video call,10,170,110,-35%,Technology - Apps - Chat - Video,Entertainment
app to bring you food,110,110,70,-36%,Technology - Apps - Food,Health & Safety
apps that bring you food,110,110,70,-36%,Technology - Apps - Food,Health & Safety
best monitor for home use,20,110,70,-36%,Technology - Remote Work - Monitors,Health & Safety
espn+ subscription cancel,50,110,70,-36%,Technology - Subscriptions - Cancel,Financial Hardship
facetime app for samsung galaxy,70,110,70,-36%,Technology - Apps - Chat - Video,Health & Safety
video chat hangout app,10,110,70,-36%,Technology - Apps - Chat - Video,Health & Safety
video chat random ios,90,110,70,-36%,Technology - Apps - Chat - Video,Health & Safety
are facetime calls free,140,1600,1000,-38%,Technology - Apps - Chat - Video,Health & Safety
food delivery apps near me,1300,1600,1000,-38%,Technology - Apps - Delivery - Food,Health & Safety
app that delivers anything you want,70,50,30,-40%,Technology - Apps - Delivery,Health & Safety
food delivery app for restaurants,10,50,30,-40%,Technology - Apps - Delivery - Food,Health & Safety
galaxy facetime app,20,70,40,-43%,Technology - Apps - Chat - Video,Health & Safety
how much germs are on your phone,10,70,40,-43%,Technology - Mobile Devices - Question,Health & Safety
fresh direct code,260,1300,720,-45%,Technology - Apps - Grocery,Health & Safety
best work from home monitor,40,1600,880,-45%,Technology - Remote Work - Monitors,Communication
group video chat,720,14800,8100,-45%,Technology - Apps - Chat - Video,Entertainment
video chat for groups,720,14800,8100,-45%,Technology - Apps - Chat - Video,Health & Safety
best guided meditation,8100,6600,3600,-45%,Technology - Apps - Mental Health,Health & Safety
free facetime video call,50,880,480,-45%,Technology - Apps - Chat - Video,Health & Safety
freshdirect new york,210,880,480,-45%,Technology - Apps - Grocery,Health & Safety
group video app,20,880,480,-45%,Technology - Apps - Chat - Video,Entertainment
is there a facetime app for android,210,880,480,-45%,Technology - Apps - Chat - Video,Health & Safety
video chat multiple people,110,6600,3600,-45%,Technology - Apps - Chat - Video,Health & Safety
video chat with multiple people,110,6600,3600,-45%,Technology - Apps - Chat - Video,Communication
what do i need to work from home,50,720,390,-46%,Technology - Remote Work - Question,Communication
best home computer monitor,50,390,210,-46%,Technology - Remote Work - Monitors,Health & Safety
fresh direct coupon,1000,5400,2900,-46%,Technology - Apps - Grocery,Health & Safety
phone cleaners,1000,5400,2900,-46%,Technology - Mobile Devices,Health & Safety
video chat meme,210,5400,2900,-46%,Technology - Apps - Chat - Video,Health & Safety
video chat slack,480,5400,2900,-46%,Technology - Apps - Chat - Video,Health & Safety
how do i cancel my espn plus subscription,170,320,170,-47%,Technology - Subscriptions - Cancel - Question,Financial Hardship
need to work from home,70,170,90,-47%,Technology - Remote Work,Communication
fresh grocery delivery service,30,210,110,-48%,Technology - Apps - Grocery - Delivery,Health & Safety
work from home laptop requirements,70,210,110,-48%,Technology - Remote Work - Laptop,Communication
app for facetime on samsung,30,20,10,-50%,Technology - Apps - Chat - Video,Health & Safety
app that lets you order groceries,10,20,10,-50%,Technology - Apps - Ordering - Grocery,Health & Safety
best home office storage,20,20,10,-50%,Technology - Remote Work - Office,Health & Safety
cancel espn subscription on roku,10,20,10,-50%,Technology - Subscriptions - Cancel,Financial Hardship
desk for home office ideas,40,40,20,-50%,Technology - Remote Work - Office,Health & Safety
drinks free app,20,20,10,-50%,Technology - Apps - Alcohol - Bartending,Entertainment
friendcaller,10,20,10,-50%,Technology - Apps - Chat - Video,Health & Safety
group video chat ios,10,20,10,-50%,Technology - Apps - Chat - Video,Communication
i need to work from home what can i do,20,40,20,-50%,Technology - Remote Work - Question,Communication
justalk video call,10,20,10,-50%,Technology - Apps - Chat - Video,Health & Safety
learn to bartend app,20,20,10,-50%,Technology - Apps - Bartending,Health & Safety
offline video call,10,20,10,-50%,Technology - Apps - Chat - Video,Health & Safety
quick video call,10,20,10,-50%,Technology - Apps - Chat - Video,Health & Safety
recipe app based on what you have,10,20,10,-50%,Technology - Apps - Cooking - Recipe - Question,Health & Safety
shop and delivery app,10,40,20,-50%,Technology - Apps - Grocery - Delivery,Health & Safety
video chat conference app,20,140,70,-50%,Technology - Apps - Chat - Video,Health & Safety
what apps deliver food in my area,10,40,20,-50%,Technology - Apps - Delivery - Food - Question,Health & Safety
what is the food delivery app,10,20,10,-50%,Technology - Apps - Delivery - Food - Question,Health & Safety
work from home on your computer,70,110,50,-55%,Technology - Remote Work,Communication
group video call,590,18100,8100,-55%,Technology - Apps - Chat - Video,Health & Safety
skype video call,2900,18100,8100,-55%,Technology - Apps - Chat - Video,Health & Safety
video chat google hangouts,1900,74000,33100,-55%,Technology - Apps - Chat - Video,Health & Safety
video chat with google hangouts,1900,74000,33100,-55%,Technology - Apps - Chat - Video,Health & Safety
how many germs are on your phone,320,880,390,-56%,Technology - Mobile Devices - Question,Health & Safety
best bluetooth headset for working from home,10,320,140,-56%,Technology - Remote Work,Communication
how do you cancel an app subscription,390,480,210,-56%,Technology - Subscriptions - Cancel - Question,Financial Hardship
work from home internet speed requirements,50,390,170,-56%,Technology - Remote Work - Internet Speed,Communication
best monitor for working from home,320,4400,1900,-57%,Technology - Remote Work - Monitors,Communication
can i use clorox wipes on my cell phone,20,210,90,-57%,Technology - Mobile Devices,Health & Safety
dating virtual,10,70,30,-57%,Technology - Dating,Health & Safety
is there facetime app for android,10,70,30,-57%,Technology - Apps - Chat - Video,Health & Safety
requirements to work from home,20,70,30,-57%,Technology - Remote Work,Communication
free gym workout apps,390,260,110,-58%,Technology - Apps - Free - Workout,Health & Safety
facetime for android tablet free download,10,50,20,-60%,Technology - Apps - Chat - Video,Health & Safety
how much germs does your phone have,10,50,20,-60%,Technology - Mobile Devices - Question,Health & Safety
group video chat app,590,18100,6600,-64%,Technology - Apps - Chat - Video,Entertainment
video chat group app,590,18100,6600,-64%,Technology - Apps - Chat - Video,Health & Safety
internet speed needed to work from home,10,110,40,-64%,Technology - Remote Work - Internet Speed,Communication
can you clean your phone with hand sanitizer,50,390,140,-64%,Technology - Mobile Devices,Health & Safety
home office headset reviews,10,30,10,-67%,Technology - Remote Work - Office,Health & Safety
how to clean ipad screen germs,10,30,10,-67%,Technology - Mobile Devices - Question,Health & Safety
offline video chat,10,30,10,-67%,Technology - Apps - Chat - Video,Health & Safety
germs on phone,480,2400,720,-70%,Technology - Mobile Devices,Health & Safety
how to set up home office space,30,170,50,-71%,Technology - Remote Work - OfficeQuestion,Health & Safety
cleaning phone with hand sanitizer,30,480,140,-71%,Technology - Mobile Devices,Health & Safety
how to set up work from home,10,480,140,-71%,Technology - Remote Work - Question,Communication
best free facetime app for android,10,70,20,-71%,Technology - Apps - Chat - Video,Health & Safety
drinking game app iphone,90,70,20,-71%,Technology - Apps - Alcohol - Bartending,Entertainment
facetime group call app,10,140,40,-71%,Technology - Apps - Chat - Video,Health & Safety
video call multiple person app,10,40,10,-75%,Technology - Apps - Chat - Video,Entertainment
germs on cell phones,720,2900,720,-75%,Technology - Mobile Devices,Health & Safety
espn plus cancel subscription,390,1300,320,-75%,Technology - Subscriptions - Cancel,Financial Hardship
free game apps for kids,1900,5400,1300,-76%,Technology - Apps - Free,Entertainment
best free gym workout apps,390,210,50,-76%,Technology - Apps - Free - Workout,Health & Safety
can you clean your phone with clorox wipes,50,720,170,-76%,Technology - Mobile Devices,Health & Safety
lysol wipes on phone,90,1000,210,-79%,Technology - Mobile Devices,Health & Safety
zoom video chat app download,30,1000,210,-79%,Technology - Apps - Chat - Video,Health & Safety
android food apps free,10,50,10,-80%,Technology - Apps - Cooking - Food,Health & Safety
best recipe book app android,10,50,10,-80%,Technology - Apps - Cooking - Books - Recipe,Health & Safety
is there a facetime for samsung,10,50,10,-80%,Technology - Apps - Chat - Video,Health & Safety
restaurant delivery apps,320,3600,720,-80%,Technology - Apps - Delivery,Health & Safety
how many germs are on a cell phone,90,260,50,-81%,Technology - Mobile Devices - Question,Health & Safety
how to clean your phone screen from germs,10,110,20,-82%,Technology - Mobile Devices - Question,Health & Safety
lysol wipes on iphone,10,320,50,-84%,Technology - Mobile Devices,Health & Safety
can you use clorox wipes on cell phones,30,260,40,-85%,Technology - Mobile Devices,Health & Safety
group video chat app iphone,10,90,10,-89%,Technology - Apps - Chat - Video,Communication
are lysol wipes safe for phone screens,10,320,30,-91%,Technology - Mobile Devices,Health & Safety
how to clean your phone from germs,70,1600,140,-91%,Technology - Mobile Devices - Question,Health & Safety
what's the best video chat app,50,260,10,-96%,Technology - Apps - Chat - Video,Health & Safety
best free gym workout app iphone,10,10,0,-100%,Technology - Apps - Free - Workout,Health & Safety
best laptop for small home business,10,10,0,-100%,Technology - Remote Work - Laptop,Health & Safety
cookbook ipad app,10,10,0,-100%,Technology - Apps - Cooking - Books,Health & Safety
ipad recipe app reviews,10,10,0,-100%,Technology - Apps - Cooking - Recipe,Health & Safety
justlo app,20,70,0,-100%,Technology - Apps - Chat - Video,Health & Safety
